IR #,Created,Date/Time of Incident,Location of Incident,Additional Info,Type of Bias,Type of Bias,Type of Bias 2,Type of Bias 3,Type of Bias 4,How the Bias/Intolerance was Demonstrated
01956-2019,"July 2, 2019 11:06 AM",5/15/19 12:00,Internet,Social Media Post/Video,Anti-Black / African American,Anti-Black / African American,,,,Social media
01957-2019,"July 2, 2019 11:16 AM",5/22/19 12:00,Internet,Social Media Post/Video,"Anti-Black / African American, National Origin",Anti-Black / African American, National Origin,,,"Offensive language, Social media, Spoken harassment/threat"
01960-2019,"July 3, 2019 3:58 PM",3/1/19 12:00,Academic Building,"September 2018 
January 2019
February 2019 (multiple events, including the 14th)
March 2019

Times range from noon - 10pm

On-Campus
Apartment
Campus Building
Off-Campus
Other Lab","Anti-Transgender , Anti-Female",Anti-Transgender , Anti-Female,,,"Offensive language, Physical contact"
01978-2019,"July 21, 2019 12:11 PM",7/20/19 23:00,Daniels Hall,Took place at the Daniels Hall front desk/main lobby,,,,,,"Discriminatory treatment, Offensive language, Spoken harassment/threat"
02100-2019,"August 27, 2019 3:05 AM",8/27/19 0:50,Bousfield Hall,Happened in the living room of 1009,Anti-Black / African American,Anti-Black / African American,,,,Spoken harassment/threat
02157-2019,"August 30, 2019 8:35 PM",8/30/19 20:00,Scott Hall,,Anti-Black / African American,Anti-Black / African American,,,,Offensive language
02174-2019,"September 1, 2019 3:05 AM",9/1/19 0:05,Allen Hall,Allen Hall Main Elevator,Anti-Black / African American,Anti-Black / African American,,,,"Graffiti/vandalism, Other"
02177-2019,"September 1, 2019 11:53 PM",9/1/19 19:00,Weston Hall,"204 E. Peabody Dr. Champaign, IL, 61820",Racial/Ethnic Bias (Nonspecific),Racial/Ethnic Bias (Nonspecific),,,,Graffiti/vandalism
02178-2019,"September 1, 2019 11:59 PM",9/1/19 23:26,Weston Hall,"204 E. Peabody Dr. Champaign, IL, 61820",Sexual Orientation Bias (Nonspecific),Sexual Orientation Bias (Nonspecific),,,,"Graffiti/vandalism, Offensive language"
02179-2019,"September 2, 2019 12:04 AM",9/1/19 23:28,Weston Hall,"204 E. Peabody Dr. Champaign, IL, 61820","Anti-Invisible Disability, Sexual Orientation Bias (Nonspecific)",Anti-Invisible Disability, Sexual Orientation Bias (Nonspecific),,,"Graffiti/vandalism, Offensive language"
02253-2019,"September 4, 2019 11:26 PM",9/3/19 21:40,Babcock Hall,,Erroneously Reported,Erroneously Reported,,,,Other
02231-2019,"September 5, 2019 11:51 AM",9/5/19 9:39,LAR Main Building,"1005 S. Lincoln Ave
Urbana, IL 61801
Leonard 0466",Anti-Islamic,Anti-Islamic,,,,Other
02336-2019,"September 14, 2019 9:48 PM",9/14/19 21:25,Weston Hall,,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,Other
02369-2019,"September 16, 2019 6:20 PM",9/16/19 18:00,Babcock Hall,,Erroneously Reported,Erroneously Reported,,,,Other
02556-2019,"October 3, 2019 3:17 PM",9/25/19 0:00,Weston Hall,,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,Spoken harassment/threat
02558-2019,"October 3, 2019 10:44 PM",10/3/19 20:12,Allen Hall,Main Lounge 155,Anti-Black / African American,Anti-Black / African American,,,,"Offensive language, Spoken harassment/threat"
02559-2019,"October 3, 2019 11:22 PM",10/2/19 18:00,Allen Hall,south rec,Sexual Orientation,Sexual Orientation,,,,Graffiti/vandalism
02565-2019,"October 4, 2019 3:11 PM",10/4/19 12:19,Weston Hall,,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,Other
02602-2019,"October 7, 2019 4:18 PM",10/7/19 15:50,Hopkins Hall,1208 S 1st Street,Anti-American Indian or Alaskan Native,Anti-American Indian or Alaskan Native,,,,Graffiti/vandalism
02612-2019,"October 8, 2019 3:08 PM",10/7/19 22:30,Saunders Hall,Resident Advisor Robert Raszewski was informed as of yesterday of the incident.,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,Spoken harassment/threat
02650-2019,"October 10, 2019 1:04 PM",10/10/19 12:19,Taft Hall,Women's Restroom (113) in the fourth stall form the entrance door.,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,"Graffiti/vandalism, Offensive language, Written harassment/threat"
02651-2019,"October 10, 2019 7:23 PM",10/10/19 18:50,Weston Hall,Weston Elevator,Anti-Jewish/Anti-Semitic,Anti-Jewish/Anti-Semitic,,,,Graffiti/vandalism
02665-2019,"October 11, 2019 4:17 PM",10/7/19 0:00,Van Doren Hall,,Anti-Asian,Anti-Asian,,,,Graffiti/vandalism
02723-2019,"October 14, 2019 9:52 PM",10/8/19 23:32,Hopkins Hall,,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,"Discriminatory treatment, Offensive language, Social media, Written harassment/threat"
02794-2019,"October 18, 2019 12:32 PM",10/16/19 23:30,Oglesby Hall,The elevator in Oglesby Florida Avenue Residency Hall,Race/Ethnicity/Ancestry,Race/Ethnicity/Ancestry,,,,Offensive language
02799-2019,"October 18, 2019 3:29 PM",10/18/19 15:17,Babcock Hall,,Anti-Black / African American,Anti-Black / African American,,,,Spoken harassment/threat
02868-2019,"October 23, 2019 7:54 AM",10/23/19 7:23,Hopkins Hall,,Erroneously Reported,Erroneously Reported,,,,Graffiti/vandalism
02977-2019,"October 30, 2019 11:39 PM",10/30/19 23:05,Blaisdell Hall,Blaisdell 2nd floor open lounge,Anti-Visible Disability,Anti-Visible Disability,,,,Offensive language
03002-2019,"November 1, 2019 12:48 PM",10/31/19 22:29,Weston Hall,,"Anti-Female, Anti-Black / African American",Anti-Female, Anti-Black / African American,,,"Offensive language, Spoken harassment/threat"
03047-2019,"November 4, 2019 5:02 PM",11/1/19 15:30,Blaisdell Hall,"The incidents that I will report did not happen on Nov. 1, they were disclosed to me during an iConvo at this time.","Anti-Visible Disability, Anti-Gay, Erroneously Reported",Anti-Visible Disability, Anti-Gay, Erroneously Reported,,Offensive language
03065-2019,"November 6, 2019 7:08 PM",11/6/19 16:07,Clark Hall,"It was in the hallway of Clark, near the lobby, outside of 134.",Anti-Black / African American,Anti-Black / African American,,,,Graffiti/vandalism
03069-2019,"November 7, 2019 12:45 AM",10/29/19 0:00,Oglesby Hall,,Racial/Ethnic Bias (Nonspecific),Racial/Ethnic Bias (Nonspecific),,,,Spoken harassment/threat
03244-2019,"November 19, 2019 10:15 PM",11/18/19 10:30,Blaisdell Hall,"The incident started with hair in a Blaisdell 2 bathroom, the rest of the incident happened in the GroupMe groupchat.",Anti-Black / African American,Anti-Black / African American,,,,
03287-2019,"November 21, 2019 1:37 PM",11/15/19 14:00,Saunders Hall,,Anti-Black / African American,Anti-Black / African American,,,,Offensive language
03391-2019,"December 4, 2019 10:01 PM",12/4/19 20:45,Hopkins Hall,,"Anti-Other race/ethnicity/ancestry, Religion",Anti-Other race/ethnicity/ancestry, Religion,,,"Offensive language, Other"
